"Company","Value"
"Apple",170
"Google",101.8
"Microsoft",87
"Facebook",73.5
"Coca-Cola",56.4
"Amazon",54.1
"Disney",43.9
"Toyota",41.1
"McDonalds",40.3
"Samsung",38.2
"GE",37.9
"At&T",36.7
"IBM",33.3
"Intel",31.4
"Cisco",30.7
"Nike",29.6
"Mercedes-Benz",29.2
"Oracle",29.2
"Verizon",29.9
"Louis Vuitton",28.8
"BMW",28.7
"Budweiser",24.6
"American Express",24.5
"Walmart",24.1
"Marlboro",24.1
"Honda",24
"SAP",23.8
"Visa",21.4
"Gillette",19.2
"Pepsi",18.2
"Nescafe",16.8
"ESPN",15.8
"LOreal",15.6
"Home Depot",14.9
"Starbucks",14.9
"H&M",14.2
"Audi",14.1
"Accenture",14
"Ford",13.8
"Frito-Lay",13.6
"IKEA",13.5
"HP",13.2
"Well Fargo",13.2
"Hermes",13
"UPS",12.9
"CVS",12.9
"Gucci",12.7
"Pampers",11.6
"Siemens",11.5
"HSBC",11.4
