"city","airport","passanger"
"Atlanta","ATL",89331622
"Pekin","PEK",73948113
"Chicago","ORD",66774738
"Londra","LHR",65884143
"Tokyo","HND",64211074
"Los Angles","LAX",59070127
"Paris","CDG",58167062
"Dallas/Fort Worth","DFW",56906610
"Frankfurt","FRA",53009221
"Denver","DEV",52209377
"Hong Kong","HKG",50348960
"Madrid","MAD",49844596
"Dubai","DXB",47180628
"New York","JFK",46514154
"Amsterdam","AMS",45211749
"Jakarta","CGK",44355998
"Bankok","BKK",42784967
"Singapur","SIN",42038777
"Guangzhou","CAN",40975673
"Sangay","PVG",40578621
